"filename", "language", "C#", "XML", "JSON", "HTML", "JavaScript", "JSON with Comments", "TypeScript", "Markdown", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\layout\NavBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 67, 0, 0, 11, 78
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\layout\UserMenu.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 0, 7, 76
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\layout\style.css", "PostCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\router\RequireAuth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 2, 15
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\router\Routes.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 2, 37
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\AvatarPopover.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 6, 55
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\DateTimeInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 0, 7, 30
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\LocationInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 17, 98
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\MapComponent.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\MenuItemList.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\SelectInput.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 6, 35
"c:\Users\mateu\Desktop\CommunityApp\Reactivity\client\src\app\shared\components\StyledButton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 3, 13
